,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,lastfm_url,track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
0,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,https://www.last.fm/music/a%2bgreat%2bbig%2bworld/_/say%2bsomething,Say Something,A Great Big World,['sad'],7,2.887156862745098,3.535294117647059,4.03421568627451,4a88e54b-3fd9-4d99-9787-ea2853cfbba1,6Vc5wAMmXdKIAM7WUoEb7N,indie pop
1,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,https://www.last.fm/music/jason%2bmraz/_/lucky,Lucky,Jason Mraz,"['romantic', 'sweet']",10,7.779723756906078,4.980662983425415,6.143867403314919,f68a7497-91aa-4d8a-88c8-abc0ba5b49f7,0IktbUcnAGrvD03AWnz3Q8,acoustic
2,1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,acoustic,https://www.last.fm/music/landon%2bpigg/_/falling%2bin%2blove%2bat%2ba%2bcoffee%2bshop,Falling In Love At A Coffee Shop,Landon Pigg,"['soothing', 'romantic', 'sweet', 'calm']",20,7.004537572254335,3.695086705202312,6.201907514450864,614a39e0-ebe9-453c-8dc4-e004676c345b,1KHdq8NK9QxnGjdXb55NiG,acoustic
3,1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,acoustic,https://www.last.fm/music/landon%2bpigg/_/coffee%2bshop,Coffee Shop,Landon Pigg,['thoughtful'],4,7.36410447761194,4.021567164179104,6.479029850746268,,1KHdq8NK9QxnGjdXb55NiG,indie
4,5JDcQAztvZTIkrWoZihgvC,Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,220239,False,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,3,acoustic,https://www.last.fm/music/ron%2bpope/_/a%2bdrop%2bin%2bthe%2bocean,A Drop In The Ocean,Ron Pope,['romantic'],14,7.275094339622641,4.950283018867926,5.977500000000001,9b347a38-772d-4019-b5ff-eeacd31109e3,5JDcQAztvZTIkrWoZihgvC,piano
5,4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Little Voice,Gravity,67,232760,False,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,4,acoustic,https://www.last.fm/music/sara%2bbareilles/_/gravity,Gravity,Sara Bareilles,"['melancholy', 'calm', 'mellow']",20,5.835571428571428,3.857714285714287,5.570142857142858,e75ffc29-8728-4238-b274-cdc31863c6a4,4oa14QBfWRDfJy2agySy0L,piano
6,3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),70,221693,False,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,4,acoustic,https://www.last.fm/music/five%2bfor%2bfighting/_/superman%2b%2528it%2527s%2bnot%2beasy%2529,Superman (It's Not Easy),Five for Fighting,['melancholy'],17,5.638854166666667,3.757916666666668,5.405,7621e1c6-8920-41f2-88d4-c588d9888190,3TwtrR1yNLY1PMPsrGQpOp,alternative
7,3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),70,221693,False,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,4,acoustic,https://www.last.fm/music/five%2bfor%2bfighting/_/superman,Superman,Five for Fighting,"['sad', 'soft']",22,5.486694214876032,3.734132231404959,5.340826446280991,687a5dad-ea7a-4d83-90e0-2f184af06a27,3TwtrR1yNLY1PMPsrGQpOp,alternative
8,3bHhUEOTIbezeZ856R0BX5,Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68,236306,False,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4,acoustic,https://www.last.fm/music/eddie%2bvedder/_/society,Society,Eddie Vedder,['sad'],13,4.851176470588236,3.50921568627451,5.154117647058824,873592f8-610b-41f4-82f6-a55d8e269a28,3bHhUEOTIbezeZ856R0BX5,soundtrack
9,4LGF2tDg3878bs0mQPByZ4,Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61,164500,False,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,acoustic,https://www.last.fm/music/eddie%2bvedder/_/guaranteed,Guaranteed,Eddie Vedder,['mellow'],16,5.932631578947367,3.5003508771929828,5.850350877192982,f36024a5-324a-4d3a-bf42-0acdc81d47bf,4LGF2tDg3878bs0mQPByZ4,acoustic
10,2WZyfujzMweFLnozyUJBkW,Augustana,All The Stars and Boulevards,Boston,63,245933,False,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,4,acoustic,https://www.last.fm/music/augustana/_/boston,Boston,Augustana,"['sad', 'mellow']",17,6.011451612903224,3.8105645161290327,5.760483870967741,dbd2a20a-a598-42d2-ba44-1c47a8d08ef6,2WZyfujzMweFLnozyUJBkW,piano rock
11,6ta5yavnnEfCE4faU0jebM,Catherine Feeny,Hurricane Glass,Mr Blue,54,154600,False,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,4,acoustic,https://www.last.fm/music/catherine%2bfeeny/_/mr%2bblue,Mr Blue,Catherine Feeny,"['reflective', 'sweet', 'soft']",6,6.871372549019608,3.5996078431372545,6.240980392156862,cace8ddb-d80d-46a2-abc9-6b852e233e81,6ta5yavnnEfCE4faU0jebM,folk
12,6ta5yavnnEfCE4faU0jebM,Catherine Feeny,Hurricane Glass,Mr Blue,54,154600,False,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,4,acoustic,https://www.last.fm/music/catherine%2bfeeny/_/mr.%2bblue,Mr. Blue,Catherine Feeny,['quiet'],8,7.405813953488371,4.2481395348837205,6.616511627906976,0585dabe-1d2b-41c4-abdb-9d2584d33043,6ta5yavnnEfCE4faU0jebM,indie
13,38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,Some Mad Hope,Come On Get Higher,71,215173,False,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,4,acoustic,https://www.last.fm/music/matt%2bnathanson/_/come%2bon%2bget%2bhigher,Come On Get Higher,Matt Nathanson,['mellow'],11,7.210172413793105,4.228448275862069,6.288045977011495,51a7c5d8-8438-45bf-9a49-4a2f3635de1b,38YgZVHPWOWsKrsCXz6JyP,acoustic
14,4lxGVzcUaSF5HW5jtWnShV,Eddie Vedder,Into The Wild (Music For The Motion Picture),Long Nights,60,151773,False,0.478,0.305,5,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,108.66,4,acoustic,https://www.last.fm/music/eddie%2bvedder/_/long%2bnights,Long Nights,Eddie Vedder,"['melancholy', 'sad']",18,4.507352941176471,3.864558823529412,4.818235294117647,2ff7334e-0fab-4fca-8b8e-2a3fdc668cf7,4lxGVzcUaSF5HW5jtWnShV,soundtrack
15,2PIlBukQ6limukVR8Ubb5o,Gabrielle Aplin,English Rain,Please Don't Say You Love Me,59,181400,False,0.479,0.541,0,-9.862,1,0.0545,0.737,0.0,0.108,0.321,85.994,4,acoustic,https://www.last.fm/music/gabrielle%2baplin/_/please%2bdon%2527t%2bsay%2byou%2blove%2bme,Please Don't Say You Love Me,Gabrielle Aplin,"['ethereal', 'sweet']",4,5.2325,3.1875,4.3975,156e0b6b-7209-425d-87e2-f84180f6c144,2PIlBukQ6limukVR8Ubb5o,pop
16,5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,Eye To The Telescope,Suddenly I See,73,201706,False,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,4,acoustic,https://www.last.fm/music/kt%2btunstall/_/suddenly%2bi%2bsee,Suddenly I See,KT Tunstall,['happy'],9,7.851489361702127,5.183829787234043,6.887872340425531,1f8051df-6ad8-4243-9023-657ad6cd31a1,5p9XWUdvbUzmPCukOmwoU3,pop
17,6IF2P93LkyW4GqDQu1yS7H,Susie Suh;Robot Koch,Here with Me,Here with Me,55,238971,False,0.582,0.375,1,-13.277,0,0.0329,0.702,0.0631,0.136,0.106,129.909,4,acoustic,https://www.last.fm/music/susie%2bsuh/_/here%2bwith%2bme,Here With Me,Susie Suh,"['ethereal', 'hypnotic']",3,3.9766666666666666,2.18,3.646666666666667,,6IF2P93LkyW4GqDQu1yS7H,indie
